review,period,sentiment,ux_category,detail
스티어 기능이 더 많아지고 무엇보다 스티커 크기만 조절할 수 있는게 아닌 상하좌우 등 돌리기 기능이 있으면 스티커를 좀 더 자연스럽게 연출 할 수 있을거 같아요 ,04기,부정,꾸미기 기능 부족,스티커
안드로이드/ 글씨나 스티커 회전이 됐으면 좋겠습니다ㅠㅠ ,04기,부정,꾸미기 기능 부족,스티커
"그리도 프로필에 저는 왜 이메일 입력이 안될까요,,카카오 계정이라 그런건가요?? 쨌든 이메일 입력이 안됩니다!",04기,부정,기타,기타
스토리 게시할때 렉이 너무 자주걸려요. ,04기,부정,앱 성능/안정성,앱멈춤
꾸미는 스티커가 너무 한정적이고 회전이 안되서 꾸미기가 불편해요.,04기,부정,꾸미기 기능 부족,스티커
스토리 올릴때 글을 쓸 수 있음 좋겠어요.,04기,부정,소통 기능 부족,커뮤니티기능
타임라인에 보이는 썸네일에서 사진이 크롭되서 나오는것보단 본인이올린 사진 크기만큼 다 나오는게 예쁜것같아요,04기,부정,기타,기타
앞으로잘부탁드리겠습니당!❤️❤️,04기,긍정,기타,기타
예전에 두둥둥장 있었는데 없어졌나요? 귀여웠는데 다시 생겼으면 좋겠어요! 아이폰 13,04기,부정,꾸미기 기능 부족,레이아웃
(애플 아이폰13프로) 업로드 할때 게시 버튼 누르면 어플이 완료화면으로 안넘어가요 ㅠㅠ 껐다 키면 게시는 되어있어요! ,04기,부정,앱 성능/안정성,앱멈춤
그리고 스티커 회전기능도 있으면 좋을것 같아요!! 감사합니다❤️,04기,부정,꾸미기 기능 부족,스티커
안드로이드 갤럭시S22 사진 꾸미고 난 후 게시버튼을 누르면 화면이 지지직 하거나 카메라가 갑자기 켜지는 등 오류가 나요ㅠㅠ,04기,부정,앱 성능/안정성,앱멈춤
애플 - 사진을 올리고 나면 올라갔다는 표시 없이 원본 사진이 뜹니다. 그리고 어플이 껐다 다시 켜야지만 올렸는지가 확인이 가능합니다ㅠㅠ,04기,부정,앱 성능/안정성,앱멈춤
애플(아이폰 12) : 스토리 게시할 때 오류가 종종 발생하더라구요. 꾸미기 끝내고 게시하기 버튼을 누르면 카메라 화면으로 전환되면서 화면이 멈췄어요. 앱을 완전히 종료 후 다시 들어오면 제대로 게시가 되어 있지만 이런 오류가 몇번 발생하더라구요ㅠ,04기,부정,앱 성능/안정성,앱멈춤
그리고 꾸미기 레이아웃이 더 다양해졌으면 좋겠어요!!,04기,부정,꾸미기 기능 부족,레이아웃
스키커도 회전 같은게 되면 좋을텐데 안되어서 사진에 다양한 구도로 넣을 수 없다는게 아쉬워서 그부분도 개선되었으면 좋겠고 텍스트도 이모티콘 삽입 되었으면 좋겠어요. 마지막으로 그리기? 도구나 도장?도구 같은것도 있으면 더 다양하게 꾸밀 수 있을 것 같은 느낌??,04기,부정,꾸미기 기능 부족,스티커
앞으로도 잘 부탁드려용❤️ 건강 조심하시구 좋은 하루 되세용!!!,04기,긍정,기타,기타
일단 4기에 또 참가할 수 있게 되어 너무 기쁩니다! 앞으로 더 활발한 스꾸친4기 되도록하겠습니다!!,04기,긍정,기타,기타
1. 업로드 게시하기 버튼을 누르고 난 후 어플 튕김 현상이 일어납니다. 게시는 가능했으나 게시 후 게시 버튼을 눌러도 화면이 바뀌지않고 화면이 그대로인 상태입니다. 다시 구동하여야만 어플을 사용 할 수있었습니다.,04기,부정,앱 성능/안정성,앱멈춤
